"quotedTweet/avatar","quotedTweet/fullname","quotedTweet/images/0","quotedTweet/links/0","quotedTweet/links/1","quotedTweet/links/2","quotedTweet/links/3","quotedTweet/links/4","quotedTweet/links/5","quotedTweet/links/6","quotedTweet/links/7","quotedTweet/links/8","quotedTweet/links/9","quotedTweet/links/10","quotedTweet/links/11","quotedTweet/links/12","quotedTweet/links/13","quotedTweet/links/14","quotedTweet/links/15","quotedTweet/links/16","quotedTweet/links/17","quotedTweet/text","quotedTweet/timestamp","quotedTweet/url","quotedTweet/username","links/0","links/1","links/2","links/3","links/4","links/5","links/6","links/7","links/8","links/9","user/avatar","user/description","user/joinDate","user/location","user/totalFollowers","user/totalFollowing","user/totalLikes","user/totalTweets","user/url","user/userFullName","user/username","user/verified","user/website","verified","replies","quotes","id","fullname","retweets","isReply","text","timestamp","likes","username"
"https://profile_images/1612628651778113538/VqNM6q39.png","Edelman APAC",,"https://twitter.com/campaignbrief",,,,,,,,,,,,,,,,,,"We're proud to have picked up 13 recognitions in 'THE WORK 2024' by @campaignbrief. Recognised as a true record of creativity for the entire APAC region, THE WORK features the very best creative campaigns of the year from Asia, Australia and New Zealand.","2024-08-09T08:59:00.000Z","https://twitter.com/EdelmanAPAC/status/1821833616248496142","@EdelmanAPAC","https://twitter.com/campaignbrief","https://twitter.com/StarbucksIndia",,,,,,,,,,,,,"0","0","0","0","https://twitter.comnull",,,"false",,"false","0","0","1822869617527964017","Ashish Pathak","0","false","Not everyday that you make it to @campaignbrief Asia’s ‘The Work’. Our work on Starbucks has helped us debut at rank #3 in India. Proud of the team involved & a big thanks to our clients at @StarbucksIndia","2024-08-12T05:35:00.000Z","0","@MolecularBeing"
,,,,,,,,,,,,,,,,,,,,,,,,,"https://twitter.com/search?q=%23RespectTheSpace","https://twitter.com/search?q=%23CafeEtiquette","https://twitter.com/StarbucksIndia",,,,,,,,,,,,"0","0","0","0","https://twitter.comnull",,,"false",,"false","0","0","1822841245246321051","PlasticSurgeonJS","0","false","Morning cafe, perfect for peace and coffee—until someone blasts videos on full volume. Major turnoff.
#RespectTheSpace #CafeEtiquette
@StarbucksIndia","2024-08-12T03:43:00.000Z","1","@DrJubin"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","https://twitter.comnull",,,"false",,"true","0","0","1822839509459096007","Starbucks India","0","true","Hi Prabanjan - We are sorry to hear about that. Please DM us your contact number, our Customer Care Team would connect with you.","2024-08-12T03:36:00.000Z","0","@StarbucksIndia"
,,,,,,,,,,,,,,,,,,,,,,,,,"https://twitter.com/StarbucksIndia",,,,,,,,,,,,,,"0","0","0","0","https://twitter.comnull",,,"false",,"false","1","0","1822699761968746613","Prabanjan Raja","0","false","@StarbucksIndia  what have you guys done with tiramisu it’s so bad guys","2024-08-11T18:21:00.000Z","0","@prabanjan_"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","https://twitter.comnull",,,"false",,"false","0","0","1822696511664247049","vartika mathur","0","true","I did not get any response","2024-08-11T18:08:00.000Z","0","@vartikamathur"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","https://twitter.comnull",,,"false",,"false","0","0","1822672388791652634","LANDOTD","0","false","So my fellow ummatis when are you boycotting twitter?

Easy to talk boycott Starbucks when most here in India won’t have a coffee worth 400 Rs.

Ab twitter kab kar rahe ho boycott?","2024-08-11T16:32:00.000Z","0","@HomelandoNorrif"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","https://twitter.comnull",,,"false",,"false","0","0","1822665718912938445","moneyness (Me, myself and moneyness)","1","false","Indians for you: 

Someone derided me in front of the team:
""When Starbucks comes to your village, I will quit my CEO job.""

Tata Coffee is in Vaigai Nagar, right next to my village.

Tatas are the sole franchisee of Star Bucks in India.","2024-08-11T16:05:00.000Z","0","@moneyness03"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","https://twitter.comnull",,,"false",,"false","0","0","1822662489617645741","India ~","0","false","Compré un vaso coleccionable de Starbucks y es muy lindo y ahora los quiero todos. Qué difícil.","2024-08-11T15:52:00.000Z","0","@tammtorres"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","https://twitter.comnull",,,"false",,"false","0","0","1822660572371931309","Harsh Agarwal","0","true","Am I the only one who has never tried Starbucks in India :(.","2024-08-11T15:45:00.000Z","0","@harshogle1"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","https://twitter.comnull",,,"false",,"false","0","0","1822638244942815248","Rahul","0","true","Nothing specific to India. This trend is world-over. You can search on the internet about below two brands and how Starbucks lost the case when it challenged the other brand.","2024-08-11T14:16:00.000Z","0","@rahtiwary"
